"","LANGUAGE","GEN_0","GEN_1","SET","TYPE"
"293","Kilmeri",0.2,1,"kinbank","kinbank"
"294","Kimaama",0.5,1,"kinbank","kinbank"
"295","Kiowa_Apache",1,1,"kinbank","kinbank"
"296","Kiraman",1,1,"kinbank","kinbank"
"297","Kiwaian",1,0.5,"kinbank","kinbank"
"298","Kogi",1,1,"kinbank","kinbank"
"299","Koiari",0,1,"kinbank","kinbank"
"300","Kombai",0.5,1,"kinbank","kinbank"
"301","Komnzo",0,0.5,"kinbank","kinbank"
"302","Konda_(Western_Dani)",1,1,"kinbank","kinbank"
"303","Korafe",0.6,1,"kinbank","kinbank"
"304","Korowai",1,1,"kinbank","kinbank"
"305","Kuman",0.136363636363636,1,"kinbank","kinbank"
"306","Kung",0.409090909090909,0,"kinbank","kinbank"
"307","Kunimaipa",0.6,1,"kinbank","kinbank"
"308","Kuot",1,1,"kinbank","kinbank"
"309","Kwoma",0.8,1,"kinbank","kinbank"
"310","Lardil",0.0909090909090909,1,"kinbank","kinbank"
"311","Lengua",0,1,"kinbank","kinbank"
"312","Lipan_Apache",1,0.5,"kinbank","kinbank"
"313","Loloda-Laba_(Loda)",1,0.75,"kinbank","kinbank"
"314","Madole",0.888888888888889,1,"kinbank","kinbank"
"315","Mairasi",0,1,"kinbank","kinbank"
"316","Mala",1,1,"kinbank","kinbank"
"317","Mapudungun",0,1,"kinbank","kinbank"
"318","Marind",0.318181818181818,1,"kinbank","kinbank"
"319","Marra",0.272727272727273,1,"kinbank","kinbank"
"320","Maybrat",1,1,"kinbank","kinbank"
"321","Meriam",0.545454545454545,1,"kinbank","kinbank"
"322","Meyah",1,1,"kinbank","kinbank"
"323","Miani",1,1,"kinbank","kinbank"
"324","Midob",0.727272727272727,1,"kinbank","kinbank"
"325","Mocovi╠ü",0.0454545454545455,1,"kinbank","kinbank"
"326","Momu-Fas",0.6,1,"kinbank","kinbank"
"327","Moni",0.4,1,"kinbank","kinbank"
"328","Monumbo",1,1,"kinbank","kinbank"
"329","Arikara_(Arickaree)",1,1,"kinbank","kinbank"
"330","Assiniboine_(Asiniboine)",0.9,1,"kinbank","kinbank"
"331","Baffin_Inuktitut_(Eskimo,_Northumberland_Inlet)",0.6,1,"kinbank","kinbank"
"332","Cayuga",0.6,1,"kinbank","kinbank"
"333","Cherokee",1,1,"kinbank","kinbank"
"334","Chibcha_(New_Granada)",0.8,1,"kinbank","kinbank"
"335","Chickasa",1,1,"kinbank","kinbank"
"336","Choctaw_(1)",1,1,"kinbank","kinbank"
"337","Choctaw_(2)",1,1,"kinbank","kinbank"
"338","Creek",1,1,"kinbank","kinbank"
"339","Crow",1,1,"kinbank","kinbank"
"340","Dakota_Blackfoot",1,1,"kinbank","kinbank"
"341","Dakota_Brule",1,1,"kinbank","kinbank"
"342","Dakota_Isauntie",1,1,"kinbank","kinbank"
"343","Dakota_Ogalalla",1,1,"kinbank","kinbank"
"344","Dakota_Sisseton",1,1,"kinbank","kinbank"
"345","Dakota_Uncpapa",1,1,"kinbank","kinbank"
"346","Dakota_Yanktonais",1,1,"kinbank","kinbank"
"347","Dakota_Yankton",1,1,"kinbank","kinbank"
"348","Grand_Pawnee",0.8,1,"kinbank","kinbank"
"349","Hare_Indians_or_Ta╠ê-na╠ê'-tin-ne",1,1,"kinbank","kinbank"
"350","Iowa╠ê",1,1,"kinbank","kinbank"
"351","Japanese",1,1,"kinbank","kinbank"
"352","Kalaallisut_(Eskimo,_Greenland)",0.428571428571429,1,"kinbank","kinbank"
"353","Kaw",1,1,"kinbank","kinbank"
"354","Kootenay",1,1,"kinbank","kinbank"
"355","Ku╠îtchin,_or_Louchieux",1,1,"kinbank","kinbank"
"356","Mandan",1,1,"kinbank","kinbank"
"357","Minnitaree",1,1,"kinbank","kinbank"
"358","Mohawk",0.8,1,"kinbank","kinbank"
"359","Mountain_Cherokee",0.888888888888889,1,"kinbank","kinbank"
"360","Omaha╠ê",1,1,"kinbank","kinbank"
"361","Oneida",0.6,1,"kinbank","kinbank"
"362","Onondaga",0.6,1,"kinbank","kinbank"
"363","Osage",1,1,"kinbank","kinbank"
"364","Otoe",1,1,"kinbank","kinbank"
"365","Punka╠ê",1,1,"kinbank","kinbank"
